,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
252,2020-03-16,71000.0,71800.0,67500.0,71800.0,968810,0.0,0.0
253,2020-03-17,67500.0,71400.0,67500.0,69900.0,1095460,0.0,0.0
254,2020-03-18,69700.0,70300.0,67500.0,69500.0,1707750,0.0,0.0
255,2020-03-19,67300.0,69300.0,65000.0,68500.0,1482170,0.0,0.0
256,2020-03-20,68500.0,68500.0,63800.0,63800.0,1351550,0.0,0.0
257,2020-03-23,60000.0,62000.0,59400.0,59400.0,198200,0.0,0.0
258,2020-03-24,55400.0,58400.0,55300.0,55300.0,2036510,0.0,0.0
259,2020-03-25,57000.0,59100.0,54000.0,59100.0,1832290,0.0,0.0
260,2020-03-26,59100.0,63000.0,57200.0,61000.0,2020820,0.0,0.0
261,2020-03-27,60000.0,61400.0,58500.0,60000.0,710770,0.0,0.0
262,2020-03-30,55800.0,57000.0,55800.0,55800.0,929820,0.0,0.0
263,2020-03-31,55800.0,57900.0,52000.0,55000.0,661010,0.0,0.0
264,2020-04-01,53200.0,57300.0,53200.0,54800.0,553900,0.0,0.0
265,2020-04-02,54800.0,54800.0,54800.0,54800.0,0,0.0,0.0
266,2020-04-03,56200.0,57700.0,55200.0,57700.0,940470,0.0,0.0
267,2020-04-06,60000.0,61700.0,58600.0,61700.0,534020,0.0,0.0
268,2020-04-07,65500.0,66000.0,62100.0,66000.0,902670,0.0,0.0
269,2020-04-08,64500.0,70000.0,64000.0,70000.0,950920,0.0,0.0
270,2020-04-09,70000.0,70900.0,68800.0,69000.0,854470,0.0,0.0
271,2020-04-13,68000.0,69500.0,67100.0,67300.0,449470,0.0,0.0
272,2020-04-14,68000.0,68900.0,66500.0,68000.0,642490,0.0,0.0
273,2020-04-15,68400.0,69000.0,67500.0,67800.0,533620,0.0,0.0
274,2020-04-16,67600.0,68200.0,66800.0,67500.0,670940,0.0,0.0
275,2020-04-17,67500.0,69200.0,67500.0,68500.0,734070,0.0,0.0
276,2020-04-20,69400.0,69400.0,68000.0,68500.0,512370,0.0,0.0
277,2020-04-21,68000.0,68300.0,66100.0,68000.0,1213590,0.0,0.0
278,2020-04-22,65200.0,68000.0,65200.0,65400.0,1303590,0.0,0.0
279,2020-04-23,67000.0,67400.0,65600.0,66600.0,1093030,0.0,0.0
280,2020-04-24,66600.0,66800.0,64300.0,65000.0,2147870,0.0,0.0
281,2020-04-27,65500.0,66900.0,64000.0,64500.0,1235530,0.0,0.0
282,2020-04-28,67000.0,68500.0,64500.0,64600.0,3631100,0.0,0.0
283,2020-04-29,64600.0,64600.0,64600.0,64600.0,0,0.0,0.0
284,2020-04-30,64600.0,64600.0,64600.0,64600.0,0,0.0,0.0
285,2020-05-01,64600.0,64600.0,64600.0,64600.0,0,0.0,0.0
286,2020-05-04,63600.0,64900.0,63600.0,64900.0,1577040,0.0,0.0
287,2020-05-05,64700.0,65500.0,63400.0,63600.0,2397120,0.0,0.0
288,2020-05-06,63600.0,67500.0,63400.0,67000.0,4286630,0.0,0.0
289,2020-05-07,67500.0,68000.0,66200.0,67600.0,1474450,0.0,0.0
290,2020-05-08,68000.0,72300.0,67800.0,70900.0,3635800,0.0,0.0
291,2020-05-11,71000.0,73900.0,70800.0,73500.0,2792640,0.0,0.0
292,2020-05-12,73300.0,73900.0,72000.0,73500.0,1769100,0.0,0.0
293,2020-05-13,72600.0,73000.0,70900.0,71400.0,3373310,0.0,0.0
294,2020-05-14,70900.0,71400.0,70400.0,70600.0,2268270,0.0,0.0
295,2020-05-15,70600.0,70600.0,70600.0,70600.0,0,0.0,0.0
296,2020-05-18,70600.0,70600.0,70600.0,70600.0,0,0.0,0.0
297,2020-05-19,73000.0,74700.0,72300.0,74700.0,3688710,0.0,0.0
298,2020-05-20,74700.0,74700.0,74700.0,74700.0,0,0.0,0.0
299,2020-05-21,77500.0,78500.0,76800.0,78000.0,2266430,0.0,0.0
300,2020-05-22,77000.0,77400.0,75600.0,76500.0,2154460,0.0,0.0
301,2020-05-26,77500.0,77900.0,76400.0,77900.0,2996560,0.0,0.0
302,2020-05-27,76500.0,77600.0,74600.0,74700.0,3769070,0.0,0.0
303,2020-05-28,74900.0,76000.0,74400.0,75000.0,4347270,0.0,0.0
304,2020-05-29,75600.0,77100.0,75500.0,76600.0,3942120,0.0,0.0
305,2020-06-01,77400.0,79500.0,77300.0,79100.0,3254070,0.0,0.0
306,2020-06-02,79100.0,79200.0,77700.0,77800.0,2635920,0.0,0.0
307,2020-06-03,78000.0,78300.0,77400.0,77900.0,2655470,0.0,0.0
308,2020-06-04,78000.0,78700.0,77000.0,77500.0,3127800,0.0,0.0
309,2020-06-05,77500.0,77500.0,77500.0,77500.0,0,0.0,0.0
310,2020-06-08,77500.0,77500.0,77500.0,77500.0,0,0.0,0.0
311,2020-06-09,77500.0,77500.0,77500.0,77500.0,0,0.0,0.0
312,2020-06-10,77600.0,77800.0,76900.0,77500.0,3218980,0.0,0.0
313,2020-06-11,77500.0,78600.0,76500.0,76500.0,5714800,0.0,0.0
314,2020-06-12,73500.0,75600.0,73500.0,75000.0,3152190,0.0,0.0
315,2020-06-15,75600.0,75700.0,70000.0,70000.0,3356780,0.0,0.0
316,2020-06-16,72800.0,74900.0,72100.0,74900.0,3077090,0.0,0.0
317,2020-06-17,76300.0,77600.0,75000.0,76000.0,2173040,0.0,0.0
318,2020-06-18,75600.0,76700.0,75400.0,76500.0,1636400,0.0,0.0
319,2020-06-19,76100.0,77200.0,76100.0,76500.0,1688070,0.0,0.0
320,2020-06-22,77300.0,78400.0,76900.0,78300.0,2797780,0.0,0.0
321,2020-06-23,78700.0,78700.0,76100.0,77700.0,2146280,0.0,0.0
322,2020-06-24,77700.0,78600.0,75500.0,75700.0,2004540,0.0,0.0
323,2020-06-25,74800.0,75900.0,74300.0,75500.0,1241690,0.0,0.0
324,2020-06-26,76000.0,76600.0,75000.0,75600.0,753970,0.0,0.0
325,2020-06-29,75000.0,75000.0,73200.0,74000.0,1068990,0.0,0.0
326,2020-06-30,75000.0,77000.0,74300.0,75500.0,2302620,0.0,0.0
327,2020-07-01,75300.0,77000.0,75300.0,76900.0,936450,0.0,0.0
328,2020-07-02,77000.0,77400.0,76400.0,76900.0,893400,0.0,0.0
329,2020-07-06,78300.0,81500.0,77400.0,80800.0,4330280,0.0,0.0
330,2020-07-07,81000.0,81900.0,80500.0,80800.0,1414070,0.0,0.0
331,2020-07-08,80300.0,81000.0,79800.0,80400.0,800360,0.0,0.0
332,2020-07-09,80800.0,81700.0,80300.0,80800.0,1220730,0.0,0.0
333,2020-07-10,80800.0,80800.0,80800.0,80800.0,0,0.0,0.0
334,2020-07-13,80100.0,80100.0,79100.0,79100.0,988800,0.0,0.0
335,2020-07-14,78800.0,81000.0,78500.0,80500.0,1461550,0.0,0.0
336,2020-07-15,80500.0,80500.0,80500.0,80500.0,0,0.0,0.0
337,2020-07-16,81100.0,81500.0,80300.0,81500.0,922350,0.0,0.0
338,2020-07-17,81500.0,81500.0,80400.0,80500.0,835720,0.0,0.0
339,2020-07-20,80500.0,81100.0,79000.0,79200.0,1361250,0.0,0.0
340,2020-07-21,79300.0,79500.0,77500.0,78800.0,2108040,0.0,0.0
341,2020-07-22,78800.0,79500.0,77000.0,77500.0,1707150,0.0,0.0
342,2020-07-23,77500.0,78800.0,77500.0,78800.0,882880,0.0,0.0
343,2020-07-24,78000.0,78800.0,74500.0,76000.0,2649390,0.0,0.0
344,2020-07-27,72000.0,74500.0,70900.0,70900.0,2662390,0.0,0.0
345,2020-07-28,71200.0,75800.0,71200.0,75800.0,2561800,0.0,0.0
346,2020-07-29,75300.0,75300.0,72600.0,74000.0,1809000,0.0,0.0
347,2020-07-30,74000.0,77200.0,74000.0,76600.0,1637120,0.0,0.0
348,2020-07-31,74600.0,77900.0,74600.0,77700.0,2417730,0.0,0.0
349,2020-08-03,77000.0,78800.0,76800.0,78500.0,1482350,0.0,0.0
350,2020-08-04,79500.0,79500.0,77800.0,79000.0,1382760,0.0,0.0
351,2020-08-05,79000.0,79700.0,77800.0,79600.0,1303680,0.0,0.0
352,2020-08-06,79000.0,79900.0,78600.0,79600.0,1072220,0.0,0.0
353,2020-08-07,79700.0,80000.0,78600.0,79600.0,1199110,0.0,0.0
354,2020-08-10,79800.0,80000.0,78900.0,79600.0,1688770,0.0,0.0
355,2020-08-11,79900.0,79900.0,78600.0,79400.0,905140,0.0,0.0
356,2020-08-12,79600.0,79600.0,78400.0,79400.0,1497320,0.0,0.0
357,2020-08-13,79500.0,79700.0,78700.0,79400.0,2025090,0.0,0.0
358,2020-08-14,78900.0,80900.0,78900.0,79700.0,1189750,0.0,0.0
359,2020-08-17,79000.0,79900.0,78400.0,79700.0,1107050,0.0,0.0
360,2020-08-18,79700.0,79700.0,78600.0,79600.0,1425980,0.0,0.0
361,2020-08-19,79500.0,80900.0,78900.0,80000.0,1155260,0.0,0.0
362,2020-08-20,80000.0,82200.0,79800.0,80000.0,2428430,0.0,0.0
363,2020-08-21,80000.0,80100.0,79500.0,79500.0,1074330,0.0,0.0
364,2020-08-24,80000.0,80600.0,79700.0,80000.0,1475240,0.0,0.0
365,2020-08-25,80000.0,80500.0,79600.0,79600.0,1907340,0.0,0.0
366,2020-08-26,79600.0,80300.0,79300.0,79500.0,2249680,0.0,0.0
367,2020-08-27,79400.0,79500.0,78200.0,78500.0,2357000,0.0,0.0
368,2020-08-28,79000.0,79100.0,78300.0,78600.0,1742840,0.0,0.0
369,2020-08-31,78500.0,79200.0,78200.0,78500.0,1682380,0.0,0.0
370,2020-09-01,78300.0,78900.0,77500.0,78700.0,1565620,0.0,0.0
371,2020-09-02,78700.0,78700.0,78700.0,78700.0,0,0.0,0.0
372,2020-09-03,79100.0,80600.0,78700.0,79600.0,2913590,0.0,0.0
373,2020-09-04,79200.0,80300.0,78800.0,80000.0,2171010,0.0,0.0
374,2020-09-08,79200.0,79600.0,78200.0,78500.0,1816120,0.0,0.0
375,2020-09-09,78000.0,78600.0,77500.0,78600.0,1956880,0.0,0.0
376,2020-09-10,79000.0,80600.0,77800.0,78100.0,4229990,0.0,0.0
377,2020-09-11,78100.0,78200.0,77500.0,77700.0,2344930,0.0,0.0
378,2020-09-14,77700.0,78300.0,77500.0,77500.0,1824670,0.0,0.0
379,2020-09-15,77900.0,77900.0,76500.0,76800.0,4717630,0.0,0.0
380,2020-09-16,76800.0,76800.0,76800.0,76800.0,0,0.0,0.0
381,2020-09-17,77200.0,77400.0,76600.0,76700.0,1809830,0.0,0.0
382,2020-09-18,77000.0,77200.0,76700.0,76900.0,1791160,0.0,0.0
383,2020-09-21,77100.0,77600.0,77100.0,77100.0,1677550,0.0,0.0
384,2020-09-22,77100.0,77200.0,76500.0,76800.0,1612500,0.0,0.0
385,2020-09-23,77000.0,77900.0,76900.0,77500.0,1398940,0.0,0.0
386,2020-09-24,77500.0,78400.0,77100.0,77100.0,1704250,0.0,0.0
387,2020-09-25,77100.0,77900.0,77000.0,77100.0,919900,0.0,0.0
388,2020-09-28,77300.0,77800.0,76600.0,76600.0,2015680,0.0,0.0
389,2020-09-29,76700.0,76900.0,75100.0,75300.0,3772160,0.0,0.0
390,2020-09-30,75300.0,76400.0,75100.0,75500.0,1677150,0.0,0.0
391,2020-10-01,76300.0,77200.0,76100.0,77100.0,1359510,0.0,0.0
392,2020-10-02,77000.0,77400.0,75000.0,75900.0,1730820,0.0,0.0
393,2020-10-05,76000.0,76900.0,75900.0,76000.0,1080840,0.0,0.0
394,2020-10-06,76000.0,76800.0,76000.0,76100.0,1505510,0.0,0.0
395,2020-10-07,76100.0,77400.0,76100.0,76800.0,2596060,0.0,0.0
396,2020-10-08,77000.0,77200.0,76300.0,76600.0,1043430,0.0,0.0
397,2020-10-09,76600.0,77400.0,76500.0,77000.0,1456580,0.0,0.0
398,2020-10-12,77200.0,79200.0,77000.0,77500.0,4265300,0.0,0.0
399,2020-10-13,77900.0,78600.0,77600.0,78100.0,1233860,0.0,0.0
400,2020-10-14,78400.0,78900.0,78100.0,78500.0,2030870,0.0,0.0
401,2020-10-15,78700.0,79100.0,77500.0,77500.0,2689830,0.0,0.0
402,2020-10-16,77900.0,77900.0,76900.0,77000.0,1811510,0.0,0.0
403,2020-10-19,76800.0,77000.0,76000.0,76100.0,2467450,0.0,0.0
404,2020-10-20,76100.0,76600.0,75800.0,76200.0,2257630,0.0,0.0
405,2020-10-21,76400.0,77700.0,76200.0,76400.0,1862630,0.0,0.0
406,2020-10-22,76500.0,77500.0,76200.0,77500.0,1591870,0.0,0.0
407,2020-10-23,78000.0,79900.0,77800.0,79500.0,5830890,0.0,0.0
408,2020-10-26,80500.0,81100.0,78500.0,78500.0,3668950,0.0,0.0
409,2020-10-27,79000.0,79200.0,77600.0,77600.0,2422480,0.0,0.0
410,2020-10-28,77200.0,77700.0,75600.0,75600.0,3139990,0.0,0.0
411,2020-10-29,75500.0,76700.0,75400.0,76200.0,2088330,0.0,0.0
412,2020-10-30,77000.0,77000.0,74900.0,76000.0,3013800,0.0,0.0
413,2020-11-02,76000.0,76300.0,75400.0,75900.0,1162890,0.0,0.0
414,2020-11-03,76200.0,76200.0,75500.0,75800.0,2067320,0.0,0.0
415,2020-11-04,76000.0,76500.0,75700.0,75900.0,1825770,0.0,0.0
416,2020-11-05,76000.0,76900.0,75700.0,75700.0,1779570,0.0,0.0
417,2020-11-06,75700.0,76000.0,75600.0,75700.0,1695290,0.0,0.0
418,2020-11-09,76000.0,78000.0,76000.0,78000.0,3746870,0.0,0.0
419,2020-11-10,78700.0,79000.0,77400.0,77400.0,3627750,0.0,0.0
420,2020-11-11,77900.0,78100.0,76600.0,76600.0,2717770,0.0,0.0
421,2020-11-12,76600.0,77500.0,76600.0,77200.0,1464300,0.0,0.0
422,2020-11-13,77200.0,78500.0,77200.0,78300.0,2425260,0.0,0.0
423,2020-11-16,78600.0,79200.0,76000.0,76600.0,4096110,0.0,0.0
424,2020-11-17,77000.0,78300.0,76700.0,78300.0,2250180,0.0,0.0
425,2020-11-18,78200.0,78200.0,77300.0,77300.0,2008090,0.0,0.0
426,2020-11-19,77500.0,78200.0,77200.0,77500.0,2451380,0.0,0.0
427,2020-11-20,78000.0,78800.0,77600.0,78500.0,2692820,0.0,0.0
428,2020-11-23,79400.0,80900.0,79300.0,80600.0,5107110,0.0,0.0
429,2020-11-24,81000.0,83800.0,80600.0,83800.0,5458900,0.0,0.0
430,2020-11-25,84000.0,85700.0,83400.0,83500.0,3544000,0.0,0.0
431,2020-11-27,82700.0,83500.0,82100.0,83000.0,2024240,0.0,0.0
432,2020-11-30,83500.0,84300.0,82200.0,82600.0,3533370,0.0,0.0
433,2020-12-01,81500.0,83300.0,81500.0,83300.0,2597660,0.0,0.0
434,2020-12-02,83200.0,85800.0,83200.0,85200.0,4703540,0.0,0.0
435,2020-12-03,85600.0,85600.0,84500.0,84900.0,1673260,0.0,0.0
436,2020-12-04,85000.0,85200.0,84100.0,84900.0,2190950,0.0,0.0
437,2020-12-07,84500.0,85100.0,83800.0,84700.0,1479390,0.0,0.0
438,2020-12-08,84900.0,85700.0,84300.0,84400.0,1532530,0.0,0.0
439,2020-12-09,84500.0,85300.0,84200.0,85000.0,2136700,0.0,0.0
440,2020-12-10,85400.0,85700.0,83600.0,83600.0,2406160,0.0,0.0
441,2020-12-11,83600.0,85000.0,83400.0,85000.0,2406180,0.0,0.0
442,2020-12-14,85400.0,87000.0,85000.0,87000.0,2974170,0.0,0.0
443,2020-12-15,86500.0,88100.0,85000.0,86000.0,4050090,0.0,0.0
444,2020-12-16,86000.0,86600.0,85500.0,86200.0,1812470,0.0,0.0
445,2020-12-17,86000.0,86000.0,84500.0,84700.0,4870320,0.0,0.0
446,2020-12-18,84700.0,86000.0,84600.0,85300.0,3038890,0.0,0.0
447,2020-12-21,85600.0,87300.0,85600.0,87100.0,3322250,0.0,0.0
448,2020-12-22,87200.0,87900.0,86400.0,86900.0,2163130,0.0,0.0
449,2020-12-23,87400.0,89000.0,86800.0,87400.0,3220800,0.0,0.0
450,2020-12-24,88000.0,88100.0,84500.0,86300.0,2687430,0.0,0.0
451,2020-12-28,88500.0,88600.0,86700.0,87700.0,1905670,0.0,0.0
452,2020-12-29,87700.0,90500.0,87100.0,90300.0,3451160,0.0,0.0
453,2020-12-30,90600.0,92000.0,90000.0,90200.0,2027680,0.0,0.0
454,2020-12-31,91200.0,91400.0,89500.0,89500.0,1272810,0.0,0.0
455,2021-01-04,91000.0,92900.0,89900.0,92000.0,307750,0.0,0.0
456,2021-01-05,91800.0,96000.0,91500.0,95600.0,285320,0.0,0.0
457,2021-01-06,96600.0,96600.0,94200.0,94800.0,283820,0.0,0.0
458,2021-01-07,94800.0,95100.0,93400.0,94800.0,292640,0.0,0.0
459,2021-01-08,95500.0,96800.0,95300.0,96400.0,218720,0.0,0.0
460,2021-01-11,98000.0,103100.0,97600.0,103100.0,451270,0.0,0.0
461,2021-01-12,104800.0,104900.0,103100.0,103400.0,286260,0.0,0.0
462,2021-01-13,104000.0,104100.0,99600.0,100900.0,297250,0.0,0.0
463,2021-01-14,100900.0,101200.0,98600.0,99600.0,327480,0.0,0.0
464,2021-01-15,100700.0,101600.0,99400.0,101600.0,207810,0.0,0.0
465,2021-01-19,100000.0,100700.0,94000.0,96800.0,355250,0.0,0.0
466,2021-01-20,97000.0,103000.0,94500.0,97500.0,345730,0.0,0.0
467,2021-01-21,98000.0,99400.0,97800.0,99000.0,301830,0.0,0.0
468,2021-01-22,99400.0,101000.0,98900.0,99300.0,226280,0.0,0.0
469,2021-01-25,99500.0,100100.0,98600.0,99500.0,214200,0.0,0.0
470,2021-01-26,99600.0,99700.0,95000.0,98000.0,210570,0.0,0.0
471,2021-01-27,96000.0,98200.0,91500.0,93900.0,331200,0.0,0.0
472,2021-01-28,87500.0,89700.0,87400.0,87400.0,319760,0.0,0.0
473,2021-01-29,84000.0,93500.0,84000.0,93500.0,546940,0.0,0.0
474,2021-02-01,93600.0,95000.0,88300.0,88300.0,263420,0.0,0.0
475,2021-02-02,89000.0,94400.0,88000.0,94400.0,275690,0.0,0.0
476,2021-02-03,94500.0,98900.0,94500.0,97200.0,336590,0.0,0.0
477,2021-02-04,97200.0,98900.0,95200.0,98400.0,249890,0.0,0.0
478,2021-02-05,98900.0,99600.0,98300.0,99300.0,224580,0.0,0.0
479,2021-02-08,99300.0,99400.0,92500.0,94700.0,480310,0.0,0.0
480,2021-02-09,95900.0,97300.0,93900.0,96800.0,266860,0.0,0.0
481,2021-02-10,96800.0,96800.0,96800.0,96800.0,0,0.0,0.0
482,2021-02-11,96800.0,96800.0,96800.0,96800.0,0,0.0,0.0
483,2021-02-12,96800.0,96800.0,96800.0,96800.0,0,0.0,0.0
484,2021-02-16,96800.0,96800.0,96800.0,96800.0,0,0.0,0.0
485,2021-02-17,98000.0,101200.0,97000.0,101000.0,370170,0.0,0.0
486,2021-02-18,101000.0,103200.0,100000.0,103200.0,449940,0.0,0.0
487,2021-02-19,102000.0,103400.0,101300.0,103100.0,191180,0.0,0.0
488,2021-02-22,103600.0,106200.0,103600.0,105800.0,439050,0.0,0.0
489,2021-02-23,105800.0,106400.0,104000.0,105300.0,203910,0.0,0.0
490,2021-02-24,105300.0,105300.0,105300.0,105300.0,0,0.0,0.0
491,2021-02-25,105300.0,105300.0,105300.0,105300.0,0,0.0,0.0
492,2021-02-26,101300.0,102800.0,100400.0,101600.0,238560,0.0,0.0
493,2021-03-01,102000.0,103400.0,101900.0,103000.0,230200,0.0,0.0
494,2021-03-02,104000.0,104500.0,101700.0,102800.0,246000,0.0,0.0
495,2021-03-03,102500.0,102500.0,101300.0,101500.0,214840,0.0,0.0
496,2021-03-04,101900.0,102000.0,98000.0,100000.0,271430,0.0,0.0
497,2021-03-05,98400.0,99500.0,98000.0,98400.0,286530,0.0,0.0
498,2021-03-08,99700.0,99800.0,96800.0,97200.0,304650,0.0,0.0
499,2021-03-09,97000.0,99300.0,95200.0,98200.0,219630,0.0,0.0
500,2021-03-10,99500.0,100300.0,98000.0,99900.0,240670,0.0,0.0
